"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"면부","주택_비주거용 건물 내 주택[호]","호","29433","29439","31094","30645","31123","31855","32108","32276","32506","32697",
"면부","주택 이외의 거처_계[호]","호","78036","91210","96877","99218","100447","103889","107037","110037","112258","116058",
"동부","총인구[명]","명","41677695","41768130","41793040","41915199","42023105","42065303","42019781","42086894","42107050","42066607",
"동부","남자[명]","명","20791896","20813682","20813340","20865697","20905275","20870464","20839323","20865024","20872499","20842887",
"동부","여자[명]","명","20885799","20954448","20979700","21049502","21117830","21194839","21180458","21221870","21234551","21223720",
"동부","내국인-계[명]","명","40691446","40750840","40724958","40726349","40745617","40834701","40817756","40816522","40742832","40649761",
"동부","내국인-남자[명]","명","20265126","20273612","20250365","20237100","20231193","20240556","20229161","20220224","20171216","20110205",
"동부","내국인-여자[명]","명","20426320","20477228","20474593","20489249","20514424","20594145","20588595","20596298","20571616","20539556",
"동부","외국인-계[명]","명","986249","1017290","1068082","1188850","1277488","1230602","1202025","1270372","1364218","1416846",
"동부","외국인-남자[명]","명","526770","540070","562975","628597","674082","629908","610162","644800","701283","732682",
"동부","외국인-여자[명]","명","459479","477220","505107","560253","603406","600694","591863","625572","662935","684164",
"동부","가구-계[가구]","가구","15842155","16028945","16268448","16526327","16868937","17335523","17773960","18119758","18392926","18589163",
"동부","일반가구[가구]","가구","15487901","15662058","15881216","16117258","16436952","16896701","17322645","17641175","17885799","18051492",
"동부","집단가구[가구]","가구","9991","7824","9617","10527","10198","9798","10880","10688","10885","11702",
"동부","외국인가구[가구]","가구","344263","359063","377615","398542","421787","429024","440435","467895","496242","525969",
"동부","주택_계[호]","호","12770134","13005559","13307911","13704654","14106481","14427931","14662672","14991846","15296986","15532717",
"동부","주택_단독주택[호]","호","1904640","1890792","1863823","1839708","1806265","1778105","1749448","1733762","1726292","1705236",
"동부","주택_아파트[호]","호","8606848","8766630","9026295","9389245","9776322","10091508","10336734","10631110","10921720","11178722",
"동부","주택_연립주택[호]","호","387477","390878","396524","399372","400381","405060","407359","412294","418113","420422",
"동부","주택_다세대주택[호]","호","1723960","1811782","1871623","1926307","1971608","2002074","2019951","2067031","2083461","2081338",
"동부","주택_비주거용 건물 내 주택[호]","호","147209","145477","149646","150022","151905","151184","149180","147649","147400","146999",
"동부","주택 이외의 거처_계[호]","호","479605","542139","614444","658222","727256","822210","910988","970339","1004658","1042454",
"서울특별시","총인구[명]","명","9904312","9805506","9741871","9673936","9639541","9586195","9472127","9417469","9384512","9335444",
"서울특별시","남자[명]","명","4859535","4799115","4757642","4718972","4690440","4647733","4584251","4547051","4523958","4491757",
"서울특별시","여자[명]","명","5044777","5006391","4984229","4954964","4949101","4938462","4887876","4870418","4860554","4843687",
"서울특별시","내국인-계[명]","명","9567196","9470339","9397944","9299511","9249364","9219741","9125047","9056522","9018373","8968153",
"서울특별시","내국인-남자[명]","명","4694317","4636374","4592393","4536552","4500878","4474343","4421687","4381802","4357962","4326627",
"서울특별시","내국인-여자[명]","명","4872879","4833965","4805551","4762959","4748486","4745398","4703360","4674720","4660411","4641526",
"서울특별시","외국인-계[명]","명","337116","335167","343927","374425","390177","366454","347080","360947","366139","367291",
"서울특별시","외국인-남자[명]","명","165218","162741","165249","182420","189562","173390","162564","165249","165996","165130",
"서울특별시","외국인-여자[명]","명","171898","172426","178678","192005","200615","193064","184516","195698","200143","202161",
"서울특별시","가구-계[가구]","가구","3914820","3915023","3948850","3981741","4043957","4126524","4191171","4252134","4298420","4319073",
"서울특별시","일반가구[가구]","가구","3784490","3784705","3813260","3839766","3896389","3982290","4046799","4098818","4141659","4159502",
"서울특별시","집단가구[가구]","가구","2261","1817","2246","2563","2328","2264","2454","2423","2392","2442",
"서울특별시","외국인가구[가구]","가구","128069","128501","133344","139412","145240","141970","141918","150893","154369","157129",
"서울특별시","주택_계[호]","호","2793244","2830857","2866845","2894078","2953964","3015371","3068494","3111323","3155331","3170332",
"서울특별시","주택_단독주택[호]","호","355039","345269","331863","322453","315566","307075","299473","293489","291582","286542",
"서울특별시","주택_아파트[호]","호","1636896","1641383","1665922","1679639","1720691","1772670","1818214","1851242","1886515","1906060",
"서울특별시","주택_연립주택[호]","호","117235","116106","114352","112372","110968","110562","110239","110418","111038","110623",
"서울특별시","주택_다세대주택[호]","호","654372","699446","724932","749971","777205","796066","812403","828773","838895","839901",
"서울특별시","주택_비주거용 건물 내 주택[호]","호","29702","28653","29776","29643","29534","28998","28165","27401","27301","27206",
"서울특별시","주택 이외의 거처_계[호]","호","150951","166859","194627","208223","224878","248125","270052","287651","299516","312958",
"종로구","총인구[명]","명","161521","154398","157277","157967","154969","151291","148857","147512","146179","144486",
"종로구","남자[명]","명","79510","75620","76670","77147","74880","73062","71367","70318","69579","68604",
"종로구","여자[명]","명","82011","78778","80607","80820","80089","78229","77490","77194","76600","75882",
"종로구","내국인-계[명]","명","146119","144049","146298","145911","141810","139718","137913","135107","133520","132177",
"종로구","내국인-남자[명]","명","71951","70844","71757","71611","69062","67919","66679","65264","64411","63410",
"종로구","내국인-여자[명]","명","74168","73205","74541","74300","72748","71799","71234","69843","69109","68767",
"종로구","외국인-계[명]","명","15402","10349","10979","12056","13159","11573","10944","12405","12659","12309",
"종로구","외국인-남자[명]","명","7559","4776","4913","5536","5818","5143","4688","5054","5168","5194",
"종로구","외국인-여자[명]","명","7843","5573","6066","6520","7341","6430","6256","7351","7491","7115",
"종로구","가구-계[가구]","가구","68429","65022","66711","68180","67650","68069","68541","69831","70217","70241",
"종로구","일반가구[가구]","가구","61580","60786","62372","63773","62652","63414","63984","64422","64507","64643",
"종로구","집단가구[가구]","가구","106","110","124","123","113","115","109","119","110","107",
"종로구","외국인가구[가구]","가구","6743","4126","4215","4284","4885","4540","4448","5290","5600","5491",
"종로구","주택_계[호]","호","43550","43554","45787","45729","46440","46859","46885","46810","47025","47156",
"종로구","주택_단독주택[호]","호","13103","12991","12920","12699","12421","12259","11987","11823","11620","11556",
"종로구","주택_아파트[호]","호","12552","12462","14507","14530","15290","15688","15775","15923","16300","16345",
"종로구","주택_연립주택[호]","호","5395","5410","5451","5428","5459","5460","5490","5532","5544","5548",
"종로구","주택_다세대주택[호]","호","11664","11872","11978","12140","12349","12540","12725","12651","12695","12849",
"종로구","주택_비주거용 건물 내 주택[호]","호","836","819","931","932","921","912","908","881","866","858",
"종로구","주택 이외의 거처_계[호]","호","4226","4488","4859","4975","5084","5663","6063","6847","7033","7360",
"중구","총인구[명]","명","128478","128160","127896","129797","130957","128744","126310","125257","127576","126899",
"중구","남자[명]","명","63218","62514","62195","62975","63406","62147","60657","59795","60980","60550",
"중구","여자[명]","명","65260","65646","65701","66822","67551","66597","65653","65462","66596","66349",
"중구","내국인-계[명]","명","118021","117960","117631","117809","118398","117252","114942","113309","115926","115712",
"중구","내국인-남자[명]","명","58223","57677","57391","57240","57381","56725","55338","54386","55668","55459",
"중구","내국인-여자[명]","명","59798","60283","60240","60569","61017","60527","59604","58923","60258","60253",
"중구","외국인-계[명]","명","10457","10200","10265","11988","12559","11492","11368","11948","11650","11187",
"중구","외국인-남자[명]","명","4995","4837","4804","5735","6025","5422","5319","5409","5312","5091",
"중구","외국인-여자[명]","명","5462","5363","5461","6253","6534","6070","6049","6539","6338","6096",
"중구","가구-계[가구]","가구","55508","55554","56239","57318","59440","59817","61073","61620","64325","64816",
"중구","일반가구[가구]","가구","51205","51503","52208","53102","54496","55093","56116","56260","59265","59849",
"중구","집단가구[가구]","가구","64","78","89","105","98","96","80","81","73","93",
"중구","외국인가구[가구]","가구","4239","3973","3942","4111","4846","4628","4877","5279","4987","4874",
"중구","주택_계[호]","호","37478","38311","39512","40177","41754","42234","42319","42401","44191","44572",
"중구","주택_단독주택[호]","호","6436","6364","6308","6209","6035","5967","5865","5751","5735","5688",
"중구","주택_아파트[호]","호","22186","22923","23874","24417","25823","26102","26327","26366","28126","28409",
"중구","주택_연립주택[호]","호","1975","1955","1948","1944","1940","1944","1896","1879","1873","1871",
"중구","주택_다세대주택[호]","호","6148","6333","6491","6719","7095","7352","7370","7572","7625","7777",
"중구","주택_비주거용 건물 내 주택[호]","호","733","736","891","888","861","869","861","833","832","827",
"중구","주택 이외의 거처_계[호]","호","3549","4220","4773","4958","5286","5695","6751","7420","7769","8447",
"용산구","총인구[명]","명","227282","224993","223898","226938","227181","225882","221688","219289","214791","203401",
"용산구","남자[명]","명","109980","108520","108471","110685","110934","109162","106910","105474","102923","97246",
"용산구","여자[명]","명","117302","116473","115427","116253","116247","116720","114778","113815","111868","106155",
"용산구","내국인-계[명]","명","212189","209710","207893","207812","206678","208602","205288","203463","200568","190640",
"용산구","내국인-남자[명]","명","102154","100642","99759","99806","99313","99866","98233","97157","95425","90649",
"용산구","내국인-여자[명]","명","110035","109068","108134","108006","107365","108736","107055","106306","105143","99991",
"용산구","외국인-계[명]","명","15093","15283","16005","19126","20503","17280","16400","15826","14223","12761",
"용산구","외국인-남자[명]","명","7826","7878","8712","10879","11621","9296","8677","8317","7498","6597",
"용산구","외국인-여자[명]","명","7267","7405","7293","8247","8882","7984","7723","7509","6725","6164",
"용산구","가구-계[가구]","가구","96385","96097","96975","98580","99777","101431","102638","103974","103826","98398",
"용산구","일반가구[가구]","가구","90313","90164","91102","92500","93177","95714","96989","98483","98322","93491",
"용산구","집단가구[가구]","가구","68","65","85","95","80","89","91","79","73","68",
"용산구","외국인가구[가구]","가구","6004","5868","5788","5985","6520","5628","5558","5412","5431","4839",
"용산구","주택_계[호]","호","70723","70868","71356","71680","72463","74542","75739","77116","77734","78063",
"용산구","주택_단독주택[호]","호","15503","15302","14993","14792","14487","14064","13716","13450","13370","13226",
"용산구","주택_아파트[호]","호","35343","35310","35648","35728","36181","37676","38631","39805","39806","39915",
"용산구","주택_연립주택[호]","호","4029","3974","3985","3996","3959","3969","3911","3887","3921","3998",
"용산구","주택_다세대주택[호]","호","15206","15653","15988","16416","17107","18124","18785","19309","19978","20266",
"용산구","주택_비주거용 건물 내 주택[호]","호","642","629","742","748","729","709","696","665","659","658",
"용산구","주택 이외의 거처_계[호]","호","4036","4321","4790","5518","6151","6611","6953","7299","7382","7342",
"성동구","총인구[명]","명","295006","294744","302367","306796","299688","291918","286469","282131","277683","274688",
"성동구","남자[명]","명","146332","145935","149060","150623","146630","142128","139181","136734","134488","132827",
"성동구","여자[명]","명","148674","148809","153307","156173","153058","149790","147288","145397","143195","141861",
"성동구","내국인-계[명]","명","285137","284735","291931","295489","287914","281266","276273","271540","267315","264538",
"성동구","내국인-남자[명]","명","141429","141022","144018","145220","141020","137301","134666","132102","129971","128415",
"성동구","내국인-여자[명]","명","143708","143713","147913","150269","146894","143965","141607","139438","137344","136123",
"성동구","외국인-계[명]","명","9869","10009","10436","11307","11774","10652","10196","10591","10368","10150",
"성동구","외국인-남자[명]","명","4903","4913","5042","5403","5610","4827","4515","4632","4517","4412",
"성동구","외국인-여자[명]","명","4966","5096","5394","5904","6164","5825","5681","5959","5851","5738",
"성동구","가구-계[가구]","가구","118900","120625","125421","128602","127557","126658","127440","127790","127950","127631",
"성동구","일반가구[가구]","가구","114719","116401","120957","123963","122770","122186","122756","122873","123124","122894",
"성동구","집단가구[가구]","가구","75","55","75","78","79","69","75","76","70","65",
"성동구","외국인가구[가구]","가구","4106","4169","4389","4561","4708","4403","4609","4841","4756","4672",
"성동구","주택_계[호]","호","82331","80977","86650","87830","91037","91329","91033","90740","91252","91231",
"성동구","주택_단독주택[호]","호","11250","11155","11044","10944","10782","10525","9916","9410","9345","9295",
"성동구","주택_아파트[호]","호","59331","57548","62985","63976","67058","67584","68090","68125","68191","68086",
"성동구","주택_연립주택[호]","호","2076","2063","2055","2032","2021","1990","1976","2058","2017","1998",
"성동구","주택_다세대주택[호]","호","8610","9172","9470","9785","10095","10158","10031","10177","10735","10896",
"성동구","주택_비주거용 건물 내 주택[호]","호","1064","1039","1096","1093","1081","1072","1020","970","964","956",
"성동구","주택 이외의 거처_계[호]","호","4507","5118","5432","5705","5851","6092","6509","7128","7477","7618",
"광진구","총인구[명]","명","368199","363979","363934","362304","359766","353967","347099","346519","348160","345130",
"광진구","남자[명]","명","180647","177858","177156","175762","174027","169925","166469","165843","166527","164812",
"광진구","여자[명]","명","187552","186121","186778","186542","185739","184042","180630","180676","181633","180318",
"광진구","내국인-계[명]","명","350993","346476","345535","342575","338841","333985","328395","326453","326550","323153",
"광진구","내국인-남자[명]","명","172622","169766","168833","166730","164553","161130","158337","157253","157303","155402",
"광진구","내국인-여자[명]","명","178371","176710","176702","175845","174288","172855","170058","169200","169247","167751",
"광진구","외국인-계[명]","명","17206","17503","18399","19729","20925","19982","18704","20066","21610","21977",
"광진구","외국인-남자[명]","명","8025","8092","8323","9032","9474","8795","8132","8590","9224","9410",
"광진구","외국인-여자[명]","명","9181","9411","10076","10697","11451","11187","10572","11476","12386","12567",
"광진구","가구-계[가구]","가구","155242","153844","155878","156764","158673","160944","162785","166046","168848","169231",
"광진구","일반가구[가구]","가구","147718","146196","147846","148735","149905","152090","153962","156463","158612","158609",
"광진구","집단가구[가구]","가구","84","77","90","87","87","78","71","78","93","78",
"광진구","외국인가구[가구]","가구","7440","7571","7942","7942","8681","8776","8752","9505","10143","10544",
