"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"미추홀구","일반가구[가구]","가구","","","","162813","166240","168908","175389","179218","180687","184785",
"미추홀구","집단가구[가구]","가구","","","","131","158","151","175","179","199","227",
"미추홀구","외국인가구[가구]","가구","","","","3652","3930","4063","4379","5217","5792","6285",
"미추홀구","주택_계[호]","호","","","","144504","145705","146766","148659","152445","157336","162667",
"미추홀구","주택_단독주택[호]","호","","","","21817","20018","19200","17934","17157","16423","16175",
"미추홀구","주택_아파트[호]","호","","","","65638","68200","68773","72308","76640","82233","88185",
"미추홀구","주택_연립주택[호]","호","","","","3756","3944","4547","4826","5100","5552","5744",
"미추홀구","주택_다세대주택[호]","호","","","","51406","50805","51577","51044","51089","50765","50219",
"미추홀구","주택_비주거용 건물 내 주택[호]","호","","","","1887","2738","2669","2547","2459","2363","2344",
"미추홀구","주택 이외의 거처_계[호]","호","","","","12515","14195","16829","18668","20007","20475","20915",
"강화군","총인구[명]","명","62291","62741","63737","64432","65235","66020","65834","66420","66246","66309",
"강화군","남자[명]","명","31298","31592","32025","32378","32781","33116","32927","33292","33235","33312",
"강화군","여자[명]","명","30993","31149","31712","32054","32454","32904","32907","33128","33011","32997",
"강화군","내국인-계[명]","명","61354","61758","62753","63322","64004","64866","64759","65250","64883","64796",
"강화군","내국인-남자[명]","명","30724","30983","31416","31674","31985","32389","32279","32520","32322","32284",
"강화군","내국인-여자[명]","명","30630","30775","31337","31648","32019","32477","32480","32730","32561","32512",
"강화군","외국인-계[명]","명","937","983","984","1110","1231","1154","1075","1170","1363","1513",
"강화군","외국인-남자[명]","명","574","609","609","704","796","727","648","772","913","1028",
"강화군","외국인-여자[명]","명","363","374","375","406","435","427","427","398","450","485",
"강화군","가구-계[가구]","가구","25426","25775","26402","27045","27377","28145","28927","29604","29761","30173",
"강화군","일반가구[가구]","가구","25133","25477","26103","26728","27048","27827","28616","29259","29379","29769",
"강화군","집단가구[가구]","가구","67","57","61","65","65","69","64","59","61","67",
"강화군","외국인가구[가구]","가구","226","241","238","252","264","249","247","286","321","337",
"강화군","주택_계[호]","호","26609","26660","27350","27991","28714","29323","30214","30652","31136","32810",
"강화군","주택_단독주택[호]","호","19269","19268","19859","20335","20830","21295","21843","22153","22555","22915",
"강화군","주택_아파트[호]","호","2344","2344","2344","2344","2347","2344","2343","2343","2383","3707",
"강화군","주택_연립주택[호]","호","960","991","1011","1017","1031","1055","1189","1200","1232","1232",
"강화군","주택_다세대주택[호]","호","3474","3520","3577","3731","3932","4030","4223","4344","4345","4330",
"강화군","주택_비주거용 건물 내 주택[호]","호","562","537","559","564","574","599","616","612","621","626",
"강화군","주택 이외의 거처_계[호]","호","973","1083","1155","1252","1300","1359","1386","1506","1571","1639",
"옹진군","총인구[명]","명","18642","18905","19294","19207","19040","19292","18984","19329","19286","19192",
"옹진군","남자[명]","명","10627","10827","11004","10983","10926","11073","10912","11155","11165","11165",
"옹진군","여자[명]","명","8015","8078","8290","8224","8114","8219","8072","8174","8121","8027",
"옹진군","내국인-계[명]","명","18416","18687","19082","18938","18706","18991","18703","18953","18771","18482",
"옹진군","내국인-남자[명]","명","10476","10675","10855","10796","10687","10867","10721","10860","10739","10548",
"옹진군","내국인-여자[명]","명","7940","8012","8227","8142","8019","8124","7982","8093","8032","7934",
"옹진군","외국인-계[명]","명","226","218","212","269","334","301","281","376","515","710",
"옹진군","외국인-남자[명]","명","151","152","149","187","239","206","191","295","426","617",
"옹진군","외국인-여자[명]","명","75","66","63","82","95","95","90","81","89","93",
"옹진군","가구-계[가구]","가구","9115","9160","9450","9255","8981","8867","9417","9880","10040","10079",
"옹진군","일반가구[가구]","가구","9005","9059","9347","9149","8862","8750","9306","9743","9877","9883",
"옹진군","집단가구[가구]","가구","14","14","12","12","7","7","11","19","19","24",
"옹진군","외국인가구[가구]","가구","96","87","91","94","112","110","100","118","144","172",
"옹진군","주택_계[호]","호","6731","7691","7367","7953","8140","8292","8372","8431","8716","8638",
"옹진군","주택_단독주택[호]","호","5388","5833","5876","5968","5995","6032","6133","6223","6352","6424",
"옹진군","주택_아파트[호]","호","281","720","281","647","737","642","618","560","637","520",
"옹진군","주택_연립주택[호]","호","327","327","327","328","347","566","566","566","616","597",
"옹진군","주택_다세대주택[호]","호","563","627","680","799","851","835","837","858","890","877",
"옹진군","주택_비주거용 건물 내 주택[호]","호","172","184","203","211","210","217","218","224","221","220",
"옹진군","주택 이외의 거처_계[호]","호","319","324","338","344","411","345","349","355","366","395",
"광주광역시","총인구[명]","명","1502881","1501557","1496172","1490092","1489730","1477573","1475262","1468972","1457090","1444171",
"광주광역시","남자[명]","명","748867","747303","745122","741728","741287","734140","732088","728859","722226","715799",
"광주광역시","여자[명]","명","754014","754254","751050","748364","748443","743433","743174","740113","734864","728372",
"광주광역시","내국인-계[명]","명","1481289","1477856","1470120","1460259","1456444","1447000","1444765","1436109","1421816","1408289",
"광주광역시","내국인-남자[명]","명","736656","734092","730590","725127","722939","717832","716048","711350","703206","696150",
"광주광역시","내국인-여자[명]","명","744633","743764","739530","735132","733505","729168","728717","724759","718610","712139",
"광주광역시","외국인-계[명]","명","21592","23701","26052","29833","33286","30573","30497","32863","35274","35882",
"광주광역시","외국인-남자[명]","명","12211","13211","14532","16601","18348","16308","16040","17509","19020","19649",
"광주광역시","외국인-여자[명]","명","9381","10490","11520","13232","14938","14265","14457","15354","16254","16233",
"광주광역시","가구-계[가구]","가구","573181","575918","583068","586263","596078","608316","625511","634113","639311","641029",
"광주광역시","일반가구[가구]","가구","567157","569372","575732","578559","587159","599217","615693","623252","627602","628551",
"광주광역시","집단가구[가구]","가구","438","340","389","404","418","395","363","356","367","393",
"광주광역시","외국인가구[가구]","가구","5586","6206","6947","7300","8501","8704","9455","10505","11342","12085",
"광주광역시","주택_계[호]","호","486527","494547","505471","514767","526161","538275","542703","555185","560550","567994",
"광주광역시","주택_단독주택[호]","호","88401","87351","86652","85194","82695","81315","78934","78236","77711","77228",
"광주광역시","주택_아파트[호]","호","376731","384750","395976","406329","419567","432295","438338","451265","456837","464544",
"광주광역시","주택_연립주택[호]","호","7396","8353","8427","8810","9383","9972","10731","11112","11426","11612",
"광주광역시","주택_다세대주택[호]","호","8517","8502","8505","8561","8649","8863","8910","8836","8865","8909",
"광주광역시","주택_비주거용 건물 내 주택[호]","호","5482","5591","5911","5873","5867","5830","5790","5736","5711","5701",
"광주광역시","주택 이외의 거처_계[호]","호","10625","11510","13413","13538","14214","15016","17419","20151","21823","22758",
"동구","총인구[명]","명","104173","101293","100914","99870","103754","106005","108676","111181","112016","111289",
"동구","남자[명]","명","52286","50763","50531","49942","51747","52810","53901","55149","55433","54991",
"동구","여자[명]","명","51887","50530","50383","49928","52007","53195","54775","56032","56583","56298",
"동구","내국인-계[명]","명","102759","99827","99346","97653","101181","103761","106508","109008","109706","108847",
"동구","내국인-남자[명]","명","51580","50024","49730","48758","50421","51647","52792","54012","54239","53647",
"동구","내국인-여자[명]","명","51179","49803","49616","48895","50760","52114","53716","54996","55467","55200",
"동구","외국인-계[명]","명","1414","1466","1568","2217","2573","2244","2168","2173","2310","2442",
"동구","외국인-남자[명]","명","706","739","801","1184","1326","1163","1109","1137","1194","1344",
"동구","외국인-여자[명]","명","708","727","767","1033","1247","1081","1059","1036","1116","1098",
"동구","가구-계[가구]","가구","44297","43773","44089","43709","45719","48193","50475","52106","53637","53812",
"동구","일반가구[가구]","가구","43841","43348","43634","43155","44954","47388","49595","51245","52727","52807",
"동구","집단가구[가구]","가구","64","44","49","54","55","55","45","52","48","54",
"동구","외국인가구[가구]","가구","392","381","406","500","710","750","835","809","862","951",
"동구","주택_계[호]","호","32068","32210","33266","34905","37639","40108","40956","43254","44979","44958",
"동구","주택_단독주택[호]","호","13637","12998","12614","12150","11221","10867","10382","10201","10056","9942",
"동구","주택_아파트[호]","호","14148","15075","16485","18515","22269","25080","26427","28908","30720","30819",
"동구","주택_연립주택[호]","호","949","961","964","1049","913","921","968","988","1033","1033",
"동구","주택_다세대주택[호]","호","2406","2281","2257","2252","2328","2353","2309","2297","2318","2322",
"동구","주택_비주거용 건물 내 주택[호]","호","928","895","946","939","908","887","870","860","852","842",
"동구","주택 이외의 거처_계[호]","호","1478","1442","1484","1460","1472","1540","1951","2632","2850","3262",
"서구","총인구[명]","명","305512","309176","306054","302189","298033","294854","290565","286793","284014","278639",
"서구","남자[명]","명","151010","152661","151371","149109","147067","145078","143071","141113","139583","136908",
"서구","여자[명]","명","154502","156515","154683","153080","150966","149776","147494","145680","144431","141731",
"서구","내국인-계[명]","명","303510","307155","304048","299936","295601","292538","288316","284320","281139","275320",
"서구","내국인-남자[명]","명","150014","151698","150450","148047","145929","144078","142091","139948","138160","135152",
"서구","내국인-여자[명]","명","153496","155457","153598","151889","149672","148460","146225","144372","142979","140168",
"서구","외국인-계[명]","명","2002","2021","2006","2253","2432","2316","2249","2473","2875","3319",
"서구","외국인-남자[명]","명","996","963","921","1062","1138","1000","980","1165","1423","1756",
"서구","외국인-여자[명]","명","1006","1058","1085","1191","1294","1316","1269","1308","1452","1563",
"서구","가구-계[가구]","가구","118970","121493","122837","122667","123669","124973","127585","128885","129910","128435",
"서구","일반가구[가구]","가구","118202","120798","122103","121889","122889","124204","126759","127918","128794","127177",
"서구","집단가구[가구]","가구","69","41","50","56","56","52","42","48","48","53",
"서구","외국인가구[가구]","가구","699","654","684","722","724","717","784","919","1068","1205",
"서구","주택_계[호]","호","97973","101978","103503","104649","105064","106173","106287","109055","109147","110056",
"서구","주택_단독주택[호]","호","14562","14272","14272","14140","14035","13935","13889","13732","13654","13588",
"서구","주택_아파트[호]","호","79993","84021","85485","86609","87006","88118","88357","91269","91417","92373",
"서구","주택_연립주택[호]","호","1065","1142","1162","1328","1413","1489","1412","1452","1481","1481",
"서구","주택_다세대주택[호]","호","1519","1550","1550","1540","1559","1583","1587","1574","1574","1595",
"서구","주택_비주거용 건물 내 주택[호]","호","834","993","1034","1032","1051","1048","1042","1028","1021","1019",
"서구","주택 이외의 거처_계[호]","호","3545","3801","4512","4621","4875","4833","5414","5725","6108","6175",
"남구","총인구[명]","명","221759","220733","219256","217345","217972","214860","216266","214531","211536","208707",
"남구","남자[명]","명","107673","106966","106202","105079","105267","103479","103912","102898","101424","99918",
"남구","여자[명]","명","114086","113767","113054","112266","112705","111381","112354","111633","110112","108789",
"남구","내국인-계[명]","명","220222","219105","217638","215519","215820","212832","214319","212678","209420","206579",
"남구","내국인-남자[명]","명","107016","106297","105561","104369","104374","102693","103150","102191","100607","99065",
"남구","내국인-여자[명]","명","113206","112808","112077","111150","111446","110139","111169","110487","108813","107514",
"남구","외국인-계[명]","명","1537","1628","1618","1826","2152","2028","1947","1853","2116","2128",
"남구","외국인-남자[명]","명","657","669","641","710","893","786","762","707","817","853",
"남구","외국인-여자[명]","명","880","959","977","1116","1259","1242","1185","1146","1299","1275",
"남구","가구-계[가구]","가구","83918","84311","84836","85021","86624","87579","90508","91463","91218","90888",
"남구","일반가구[가구]","가구","83484","83897","84399","84578","86172","87098","90004","90939","90635","90230",
"남구","집단가구[가구]","가구","55","55","63","49","51","55","46","45","44","42",
"남구","외국인가구[가구]","가구","379","359","374","394","401","426","458","479","539","616",
"남구","주택_계[호]","호","73586","74729","75784","76688","80261","80737","83058","84037","84581","85690",
"남구","주택_단독주택[호]","호","17078","16961","16661","16369","15822","15551","15267","15089","14979","14929",
"남구","주택_아파트[호]","호","53153","54210","55541","56746","60858","61467","64240","65377","66037","67194",
"남구","주택_연립주택[호]","호","1313","1496","1483","1481","1484","1555","1423","1460","1463","1463",
"남구","주택_다세대주택[호]","호","1224","1245","1236","1236","1254","1287","1259","1254","1254","1256",
"남구","주택_비주거용 건물 내 주택[호]","호","818","817","863","856","843","877","869","857","848","848",
"남구","주택 이외의 거처_계[호]","호","1019","973","1511","1417","1364","1447","1731","1820","1933","1985",
"북구","총인구[명]","명","459715","453155","450323","450023","446661","439352","436997","434712","432033","433089",
"북구","남자[명]","명","229791","226055","224448","224400","222727","218672","217227","216165","214187","214530",
"북구","여자[명]","명","229924","227100","225875","225623","223934","220680","219770","218547","217846","218559",
"북구","내국인-계[명]","명","454835","447948","444731","443928","439737","433239","431073","428516","425407","426456",
"북구","내국인-남자[명]","명","227434","223576","221759","221455","219360","215775","214526","213259","211030","211340",
"북구","내국인-여자[명]","명","227401","224372","222972","222473","220377","217464","216547","215257","214377","215116",
"북구","외국인-계[명]","명","4880","5207","5592","6095","6924","6113","5924","6196","6626","6633",
"북구","외국인-남자[명]","명","2357","2479","2689","2945","3367","2897","2701","2906","3157","3190",
"북구","외국인-여자[명]","명","2523","2728","2903","3150","3557","3216","3223","3290","3469","3443",
"북구","가구-계[가구]","가구","178485","175279","176793","178763","180639","183018","187968","190549","192754","195470",
"북구","일반가구[가구]","가구","177056","173862","175203","177427","178759","181167","185983","188407","190468","193109",
"북구","집단가구[가구]","가구","109","81","97","100","109","103","103","89","95","103",
"북구","외국인가구[가구]","가구","1320","1336","1493","1236","1771","1748","1882","2053","2191","2258",
"북구","주택_계[호]","호","149640","150634","154667","158154","159349","162768","163083","167568","169678","174445",
"북구","주택_단독주택[호]","호","25204","25123","24970","24416","23603","22958","22790","22665","22459","22234",
"북구","주택_아파트[호]","호","117517","118575","122601","126669","128621","132331","132725","137247","139522","144492",
"북구","주택_연립주택[호]","호","2157","2154","2189","2188","2307","2615","2734","2853","2898","2920",
"북구","주택_다세대주택[호]","호","2682","2720","2753","2757","2686","2775","2755","2740","2740","2743",
"북구","주택_비주거용 건물 내 주택[호]","호","2080","2062","2154","2124","2132","2089","2079","2063","2059","2056",
"북구","주택 이외의 거처_계[호]","호","2628","2690","2970","3037","3288","3275","4125","4425","4786","4833",
"광산구","총인구[명]","명","411722","417200","419625","420665","423310","422502","422758","421755","417491","412447",
"광산구","남자[명]","명","208107","210858","212570","213198","214479","214101","213977","213534","211599","209452",
"광산구","여자[명]","명","203615","206342","207055","207467","208831","208401","208781","208221","205892","202995",
"광산구","내국인-계[명]","명","399963","403821","404357","403223","404105","404630","404549","401587","396144","391087",
"광산구","내국인-남자[명]","명","200612","202497","203090","202498","202855","203639","203489","201940","199170","196946",
"광산구","내국인-여자[명]","명","199351","201324","201267","200725","201250","200991","201060","199647","196974","194141",
"광산구","외국인-계[명]","명","11759","13379","15268","17442","19205","17872","18209","20168","21347","21360",
"광산구","외국인-남자[명]","명","7495","8361","9480","10700","11624","10462","10488","11594","12429","12506",
"광산구","외국인-여자[명]","명","4264","5018","5788","6742","7581","7410","7721","8574","8918","8854",
"광산구","가구-계[가구]","가구","147511","151062","154513","156103","159427","164553","168975","171110","171792","172424",
"광산구","일반가구[가구]","가구","144574","147467","150393","151510","154385","159360","163352","164743","164978","165228",
"광산구","집단가구[가구]","가구","141","119","130","145","147","130","127","122","132","141",
"광산구","외국인가구[가구]","가구","2796","3476","3990","4448","4895","5063","5496","6245","6682","7055",
"광산구","주택_계[호]","호","133260","134996","138251","140371","143848","148489","149319","151271","152165","152845",
"광산구","주택_단독주택[호]","호","17920","17997","18135","18119","18014","18004","16606","16549","16563","16535",
"광산구","주택_아파트[호]","호","111920","112869","115864","117790","120813","125299","126589","128464","129141","129666",
"광산구","주택_연립주택[호]","호","1912","2600","2629","2764","3266","3392","4194","4359","4551","4715",
"광산구","주택_다세대주택[호]","호","686","706","709","776","822","865","1000","971","979","993",
"광산구","주택_비주거용 건물 내 주택[호]","호","822","824","914","922","933","929","930","928","931","936",
"광산구","주택 이외의 거처_계[호]","호","1955","2604","2936","3003","3215","3921","4198","5549","6146","6503",
"대전광역시","총인구[명]","명","1538394","1535445","1525849","1511214","1498839","1488435","1479740","1473662","1470336","1467093",
"대전광역시","남자[명]","명","772243","770971","765718","758035","751585","744349","740481","737127","735804","733118",
"대전광역시","여자[명]","명","766151","764474","760131","753179","747254","744086","739259","736535","734532","733975",
"대전광역시","내국인-계[명]","명","1519314","1515758","1505315","1488356","1473692","1465507","1456477","1447379","1440902","1435771",
"대전광역시","내국인-남자[명]","명","763310","761749","756015","747076","739521","733852","730007","725095","722241","718738",
"대전광역시","내국인-여자[명]","명","756004","754009","749300","741280","734171","731655","726470","722284","718661","717033",
"대전광역시","외국인-계[명]","명","19080","19687","20534","22858","25147","22928","23263","26283","29434","31322",
"대전광역시","외국인-남자[명]","명","8933","9222","9703","10959","12064","10497","10474","12032","13563","14380",
"대전광역시","외국인-여자[명]","명","10147","10465","10831","11899","13083","12431","12789","14251","15871","16942",
"대전광역시","가구-계[가구]","가구","588395","596752","604490","608260","616363","639020","648593","656236","665786","670971",
"대전광역시","일반가구[가구]","가구","582504","590698","597736","602175","609043","631208","640085","646474","654809","658831",
"대전광역시","집단가구[가구]","가구","420","338","437","481","482","460","536","527","516","558",
"대전광역시","외국인가구[가구]","가구","5471","5716","6317","5604","6838","7352","7972","9235","10461","11582",
"대전광역시","주택_계[호]","호","468885","474193","479161","486764","492797","496875","501218","510178","514123","523823",
"대전광역시","주택_단독주택[호]","호","81292","81384","81107","80885","80106","79189","77193","76321","75528","74882",
"대전광역시","주택_아파트[호]","호","338250","343223","348033","355517","362190","367235","373590","383514","388467","399124",
"대전광역시","주택_연립주택[호]","호","10068","10156","10208","10378","10470","10473","10492","10576","10661","10658",
"대전광역시","주택_다세대주택[호]","호","34151","34413","34590","34764","34727","34684","34791","34701","34415","34137",
"대전광역시","주택_비주거용 건물 내 주택[호]","호","5124","5017","5223","5220","5304","5294","5152","5066","5052","5022",
"대전광역시","주택 이외의 거처_계[호]","호","10676","10810","11942","11860","12247","13153","13917","13894","14307","15256",
"동구","총인구[명]","명","247975","243612","239752","237297","237273","232559","233721","231324","230134","229875",
"동구","남자[명]","명","125189","122826","121017","119833","119605","117184","117546","116188","115867","115562",
"동구","여자[명]","명","122786","120786","118735","117464","117668","115375","116175","115136","114267","114313",
"동구","내국인-계[명]","명","243881","239367","234986","231744","230735","227028","228148","224735","222378","221767",
"동구","내국인-남자[명]","명","123421","120993","118821","117144","116497","114602","115008","113193","112320","111817",
"동구","내국인-여자[명]","명","120460","118374","116165","114600","114238","112426","113140","111542","110058","109950",
"동구","외국인-계[명]","명","4094","4245","4766","5553","6538","5531","5573","6589","7756","8108",
"동구","외국인-남자[명]","명","1768","1833","2196","2689","3108","2582","2538","2995","3547","3745",
"동구","외국인-여자[명]","명","2326","2412","2570","2864","3430","2949","3035","3594","4209","4363",
"동구","가구-계[가구]","가구","101019","100167","100642","100706","102600","104650","107150","107578","109718","110169",
"동구","일반가구[가구]","가구","100111","99152","99302","99157","100718","102668","105021","104997","106617","106763",
"동구","집단가구[가구]","가구","88","77","97","109","102","107","116","111","103","122",
"동구","외국인가구[가구]","가구","820","938","1243","1440","1780","1875","2013","2470","2998","3284",
"동구","주택_계[호]","호","77218","77569","76777","78580","79740","79262","80589","81642","81855","84165",
"동구","주택_단독주택[호]","호","20051","19922","19765","19612","19205","18943","18257","17754","17650","17192",
"동구","주택_아파트[호]","호","46817","47225","46533","48413","50046","49761","51909","53484","53764","56588",
"동구","주택_연립주택[호]","호","2183","2230","2227","2248","2281","2306","2285","2327","2347","2343",
"동구","주택_다세대주택[호]","호","7017","7061","7107","7166","7047","7082","7024","6989","7001","6966",
"동구","주택_비주거용 건물 내 주택[호]","호","1150","1131","1145","1141","1161","1170","1114","1088","1093","1076",
"동구","주택 이외의 거처_계[호]","호","963","967","1064","1066","1112","1120","1147","1122","1114","1236",
"중구","총인구[명]","명","250434","246904","243540","239284","234995","231959","227326","224114","220292","220497",
"중구","남자[명]","명","123975","122142","120356","117939","115835","113814","111459","109817","107882","107836",
"중구","여자[명]","명","126459","124762","123184","121345","119160","118145","115867","114297","112410","112661",
"중구","내국인-계[명]","명","248584","245091","241733","237337","232914","229936","225339","222086","218020","218266",
"중구","내국인-남자[명]","명","123258","121452","119658","117203","115035","113104","110766","109073","106965","106962",
"중구","내국인-여자[명]","명","125326","123639","122075","120134","117879","116832","114573","113013","111055","111304",
"중구","외국인-계[명]","명","1850","1813","1807","1947","2081","2023","1987","2028","2272","2231",
"중구","외국인-남자[명]","명","717","690","698","736","800","710","693","744","917","874",
"중구","외국인-여자[명]","명","1133","1123","1109","1211","1281","1313","1294","1284","1355","1357",
"중구","가구-계[가구]","가구","95581","95584","96177","96448","96758","98346","98973","99816","99495","100593",
"중구","일반가구[가구]","가구","94909","94941","95532","95807","96106","97687","98269","99050","98670","99781",
"중구","집단가구[가구]","가구","80","57","87","85","84","81","99","103","97","100",
"중구","외국인가구[가구]","가구","592","586","558","556","568","578","605","663","728","712",
"중구","주택_계[호]","호","80402","80574","81427","81931","82320","82051","81873","83067","82576","86121",
"중구","주택_단독주택[호]","호","19059","19037","18855","18524","18325","17988","17460","17078","16614","16488",
"중구","주택_아파트[호]","호","49628","49696","50567","51232","51740","51780","51965","53526","53643","57310",
"중구","주택_연립주택[호]","호","2275","2291","2306","2439","2470","2471","2404","2446","2479","2479",
"중구","주택_다세대주택[호]","호","8011","8166","8212","8272","8315","8355","8632","8645","8479","8491",
"중구","주택_비주거용 건물 내 주택[호]","호","1429","1384","1487","1464","1470","1457","1412","1372","1361","1353",
"중구","주택 이외의 거처_계[호]","호","1205","1155","1306","1319","1278","1330","1438","1387","1321","1316",
"서구","총인구[명]","명","491507","491430","487449","484492","480920","478629","475671","474248","469031","462226",
"서구","남자[명]","명","242100","242008","239928","238128","236242","235043","233608","232872","230350","226531",
"서구","여자[명]","명","249407","249422","247521","246364","244678","243586","242063","241376","238681","235695",
"서구","내국인-계[명]","명","487660","487452","483493","480243","476257","474200","471170","469044","462888","455371",
"서구","내국인-남자[명]","명","240430","240326","238247","236333","234264","233293","231859","230793","227822","223723",
"서구","내국인-여자[명]","명","247230","247126","245246","243910","241993","240907","239311","238251","235066","231648",
"서구","외국인-계[명]","명","3847","3978","3956","4249","4663","4429","4501","5204","6143","6855",
"서구","외국인-남자[명]","명","1670","1682","1681","1795","1978","1750","1749","2079","2528","2808",
"서구","외국인-여자[명]","명","2177","2296","2275","2454","2685","2679","2752","3125","3615","4047",
"서구","가구-계[가구]","가구","187892","191568","193300","195409","198286","204879","208867","211765","212945","212645",
"서구","일반가구[가구]","가구","186517","190211","191868","194136","196870","203296","207138","209618","210520","209783",
"서구","집단가구[가구]","가구","107","73","96","99","115","102","123","121","115","126",
"서구","외국인가구[가구]","가구","1268","1284","1336","1174","1301","1481","1606","2026","2310","2736",
"서구","주택_계[호]","호","143769","146366","147097","149952","152276","153397","154398","156506","156268","156246",
"서구","주택_단독주택[호]","호","20617","20727","20597","20691","20466","20196","19465","19482","19248","19229",
"서구","주택_아파트[호]","호","112944","115337","116047","118791","121291","122782","124556","126602","126681","126671",
"서구","주택_연립주택[호]","호","2456","2520","2562","2546","2573","2488","2598","2583","2596","2599",
"서구","주택_다세대주택[호]","호","6798","6859","6927","6951","6948","6938","6828","6899","6817","6825",
"서구","주택_비주거용 건물 내 주택[호]","호","954","923","964","973","998","993","951","940","926","922",
"서구","주택 이외의 거처_계[호]","호","3787","3649","4040","3997","4131","4186","4335","4345","4349","4732",
"유성구","총인구[명]","명","350015","359057","366639","365833","366544","368895","367288","369281","379100","384024",
"유성구","남자[명]","명","180320","185416","188954","188741","189078","188856","188649","189660","194514","196773",
"유성구","여자[명]","명","169695","173641","177685","177092","177466","180039","178639","179621","184586","187251",
"유성구","내국인-계[명]","명","343420","352245","359459","357732","357945","360991","359052","360120","369543","373979",
"유성구","내국인-남자[명]","명","176938","181865","185285","184527","184541","184871","184564","185070","189781","191855",
"유성구","내국인-여자[명]","명","166482","170380","174174","173205","173404","176120","174488","175050","179762","182124",
"유성구","외국인-계[명]","명","6595","6812","7180","8101","8599","7904","8236","9161","9557","10045",
"유성구","외국인-남자[명]","명","3382","3551","3669","4214","4537","3985","4085","4590","4733","4918",
"유성구","외국인-여자[명]","명","3213","3261","3511","3887","4062","3919","4151","4571","4824","5127",
"유성구","가구-계[가구]","가구","128450","134422","140386","141924","145746","156839","157458","159687","166048","169474",
"유성구","일반가구[가구]","가구","126231","132178","137871","140085","143172","154100","154421","156411","162551","165705",
"유성구","집단가구[가구]","가구","98","81","103","129","125","121","145","141","146","149",
"유성구","외국인가구[가구]","가구","2121","2163","2412","1710","2449","2618","2892","3135","3351","3620",
"유성구","주택_계[호]","호","105937","107888","113276","114934","117035","119063","121641","124388","128811","130794",
"유성구","주택_단독주택[호]","호","10514","10663","10888","11154","11272","11309","11401","11442","11480","11492",
"유성구","주택_아파트[호]","호","89327","91224","96318","97677","99621","101693","104183","107067","111479","113714",
"유성구","주택_연립주택[호]","호","1656","1566","1566","1585","1585","1606","1606","1621","1641","1641",
"유성구","주택_다세대주택[호]","호","3649","3645","3663","3668","3683","3580","3573","3380","3329","3064",
"유성구","주택_비주거용 건물 내 주택[호]","호","791","790","841","850","874","875","878","878","882","883",
"유성구","주택 이외의 거처_계[호]","호","3749","4042","4463","4390","4638","5415","5886","5932","6444","6934",
"대덕구","총인구[명]","명","198463","194442","188469","184308","179107","176393","175734","174695","171779","170471",
"대덕구","남자[명]","명","100659","98579","95463","93394","90825","89452","89219","88590","87191","86416",
"대덕구","여자[명]","명","97804","95863","93006","90914","88282","86941","86515","86105","84588","84055",
"대덕구","내국인-계[명]","명","195769","191603","185644","181300","175841","173352","172768","171394","168073","166388",
"대덕구","내국인-남자[명]","명","99263","97113","94004","91869","89184","87982","87810","86966","85353","84381",
"대덕구","내국인-여자[명]","명","96506","94490","91640","89431","86657","85370","84958","84428","82720","82007",
"대덕구","외국인-계[명]","명","2694","2839","2825","3008","3266","3041","2966","3301","3706","4083",
"대덕구","외국인-남자[명]","명","1396","1466","1459","1525","1641","1470","1409","1624","1838","2035",
"대덕구","외국인-여자[명]","명","1298","1373","1366","1483","1625","1571","1557","1677","1868","2048",
"대덕구","가구-계[가구]","가구","75453","75011","73985","73773","72973","74306","76145","77390","77580","78090",
"대덕구","일반가구[가구]","가구","74736","74216","73163","72990","72177","73457","75236","76398","76451","76799",
"대덕구","집단가구[가구]","가구","47","50","54","59","56","49","53","51","55","61",
"대덕구","외국인가구[가구]","가구","670","745","768","724","740","800","856","941","1074","1230",
"대덕구","주택_계[호]","호","61559","61796","60584","61367","61426","63102","62717","64575","64613","66497",
"대덕구","주택_단독주택[호]","호","11051","11035","11002","10904","10838","10753","10610","10565","10536","10481",
"대덕구","주택_아파트[호]","호","39534","39741","38568","39404","39492","41219","40977","42835","42900","44841",
"대덕구","주택_연립주택[호]","호","1498","1549","1547","1560","1561","1602","1599","1599","1598","1596",
"대덕구","주택_다세대주택[호]","호","8676","8682","8681","8707","8734","8729","8734","8788","8789","8791",
"대덕구","주택_비주거용 건물 내 주택[호]","호","800","789","786","792","801","799","797","788","790","788",
"대덕구","주택 이외의 거처_계[호]","호","972","997","1069","1088","1088","1102","1111","1108","1079","1038",
"울산광역시","총인구[명]","명","1166615","1166033","1157077","1150116","1143692","1135423","1120753","1110516","1107432","1106895",
"울산광역시","남자[명]","명","606924","605618","600093","595795","591965","585978","578207","573080","573506","575564",
"울산광역시","여자[명]","명","559691","560415","556984","554321","551727","549445","542546","537436","533926","531331",
"울산광역시","내국인-계[명]","명","1136755","1137241","1130476","1122954","1115088","1108528","1095365","1084164","1075762","1071702",
"울산광역시","내국인-남자[명]","명","587603","587458","583739","579263","574546","570131","563428","557386","553006","551851",
"울산광역시","내국인-여자[명]","명","549152","549783","546737","543691","540542","538397","531937","526778","522756","519851",
"울산광역시","외국인-계[명]","명","29860","28792","26601","27162","28604","26895","25388","26352","31670","35193",
